page,alt_text,site_asset_path,production_url_after_deployment,requested_github_assets_directory,raw_github_file_url_if_using_existing_repo,status
404.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
blog.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
blog.html,Open-loop mechanism,/assets/img/open-loop-mechanism.svg,https://airlabhassen.github.io/assets/img/open-loop-mechanism.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/open-loop-mechanism.svg,local repository asset
blog.html,Closed-loop mechanism,/assets/img/closed-loop-mechanism.svg,https://airlabhassen.github.io/assets/img/closed-loop-mechanism.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/closed-loop-mechanism.svg,local repository asset
blog.html,Hybrid mechanism,/assets/img/hybrid-mechanism.svg,https://airlabhassen.github.io/assets/img/hybrid-mechanism.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/hybrid-mechanism.svg,local repository asset
blog.html,Figure 1: Five-bar manipulator,/assets/img/five-bar-manipulator.svg,https://airlabhassen.github.io/assets/img/five-bar-manipulator.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/five-bar-manipulator.svg,local repository asset
contact.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
cutting-edge.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
index.html,Robotics and AI lab research visual,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
index.html,"Composite robotics research visual showing robotic mechanisms, soft robotics, quantum optimization, Lie-group kinematics, and intelligent manipulation",/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
index.html,IEEE ICRA 2026 Vienna,/assets/img/icra-2026-vienna.png,https://airlabhassen.github.io/assets/img/icra-2026-vienna.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/icra-2026-vienna.png,local repository asset
index.html,Novel screw fastening manipulator for small-batch production,/assets/img/rcim-2026-screw-fastening-manipulator.png,https://airlabhassen.github.io/assets/img/rcim-2026-screw-fastening-manipulator.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/rcim-2026-screw-fastening-manipulator.png,local repository asset
index.html,Quantum machine learning and Grover's algorithm for robotic manipulators,/assets/img/ral-2025-qml-grover-robotic-manipulators.png,https://airlabhassen.github.io/assets/img/ral-2025-qml-grover-robotic-manipulators.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/ral-2025-qml-grover-robotic-manipulators.png,local repository asset
index.html,Active morphable pneumatic bilayer planar actuator inspired by starfish,/assets/img/ral-2025-starfish-pneumatic-actuator.png,https://airlabhassen.github.io/assets/img/ral-2025-starfish-pneumatic-actuator.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/ral-2025-starfish-pneumatic-actuator.png,local repository asset
index.html,SO(3) parallel robot variants and humanoid eye prototype,/assets/img/ral-2025-so3-humanoid-eye.png,https://airlabhassen.github.io/assets/img/ral-2025-so3-humanoid-eye.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/ral-2025-so3-humanoid-eye.png,local repository asset
index.html,Modified Lie group-based synthesis for parallel mechanisms,/assets/img/mmt-2025-lie-group-synthesis.png,https://airlabhassen.github.io/assets/img/mmt-2025-lie-group-synthesis.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/mmt-2025-lie-group-synthesis.png,local repository asset
index.html,Under-actuated robotic gripper with multiple grasping modes inspired by human finger,/assets/img/iros-2024-under-actuated-gripper.png,https://airlabhassen.github.io/assets/img/iros-2024-under-actuated-gripper.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/iros-2024-under-actuated-gripper.png,local repository asset
index.html,Multiple-locomotion origami robot trajectory optimization,/assets/img/iros-2024-origami-robot.png,https://airlabhassen.github.io/assets/img/iros-2024-origami-robot.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/iros-2024-origami-robot.png,local repository asset
publications.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
publications.html,Dimensionally Homogeneous Jacobian using Extended Selection Matrix,/assets/img/dimensionally-homogeneous-jacobian.svg,https://airlabhassen.github.io/assets/img/dimensionally-homogeneous-jacobian.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/dimensionally-homogeneous-jacobian.svg,local repository asset
publications.html,Workspace optimization of 1T2R parallel manipulators,/assets/img/workspace-optimization-1t2r.svg,https://airlabhassen.github.io/assets/img/workspace-optimization-1t2r.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/workspace-optimization-1t2r.svg,local repository asset
publications.html,Analysis of parasitic motion with the constraint embedded Jacobian,/assets/img/constraint-embedded-parasitic-motion-analysis-workflow.png,https://airlabhassen.github.io/assets/img/constraint-embedded-parasitic-motion-analysis-workflow.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/constraint-embedded-parasitic-motion-analysis-workflow.png,local repository asset
publications.html,Optimization of 3-DoF Manipulators’ Parasitic Motion,/assets/img/3prs-pkm-sprint-z3.png,https://airlabhassen.github.io/assets/img/3prs-pkm-sprint-z3.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/3prs-pkm-sprint-z3.png,local repository asset
publications.html,Algebraic insight on concomitant motion of 3RPS and 3PRS PKMs,/assets/img/parallel-kinematic-machines-3prs-3rps.png,https://airlabhassen.github.io/assets/img/parallel-kinematic-machines-3prs-3rps.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/parallel-kinematic-machines-3prs-3rps.png,local repository asset
publications.html,Structural constraint and motion of 3-PRS PKMs,/assets/img/3prs-pkm-sprint-z3.png,https://airlabhassen.github.io/assets/img/3prs-pkm-sprint-z3.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/3prs-pkm-sprint-z3.png,local repository asset
publications.html,Ph.D. thesis: Constraint-Embedded Velocity Analysis,/assets/img/phd-thesis-constraint-embedded-velocity-analysis.svg,https://airlabhassen.github.io/assets/img/phd-thesis-constraint-embedded-velocity-analysis.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/phd-thesis-constraint-embedded-velocity-analysis.svg,local repository asset
research.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
research.html,Quantum Machine Learning and Grover’s Algorithm for robotic manipulator optimization,/assets/img/ral-2025-qml-grover-robotic-manipulators.png,https://airlabhassen.github.io/assets/img/ral-2025-qml-grover-robotic-manipulators.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/ral-2025-qml-grover-robotic-manipulators.png,local repository asset
research.html,A modified Lie group-based synthesis for parallel mechanisms addressing uncontrollable and immovable limb cases,/assets/img/mmt-2025-modified-lie-group-synthesis.png,https://airlabhassen.github.io/assets/img/mmt-2025-modified-lie-group-synthesis.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/mmt-2025-modified-lie-group-synthesis.png,local repository asset
research.html,A parallel robot for dynamic balancing video preview,/assets/img/parallel-robot-dynamic-balancing-video.svg,https://airlabhassen.github.io/assets/img/parallel-robot-dynamic-balancing-video.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/parallel-robot-dynamic-balancing-video.svg,local repository asset
research.html,Modular robot concept,/assets/img/modular-robot-concept.png,https://airlabhassen.github.io/assets/img/modular-robot-concept.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/modular-robot-concept.png,local repository asset
research.html,3PRS PKM Sprint Z3,/assets/img/3prs-pkm-sprint-z3.png,https://airlabhassen.github.io/assets/img/3prs-pkm-sprint-z3.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/3prs-pkm-sprint-z3.png,local repository asset
research.html,Parallel kinematic machines 3PRS and 3RPS,/assets/img/parallel-kinematic-machines-3prs-3rps.png,https://airlabhassen.github.io/assets/img/parallel-kinematic-machines-3prs-3rps.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/parallel-kinematic-machines-3prs-3rps.png,local repository asset
research.html,Minimal actuation driven dual-axis sun tracker,/assets/img/minimal-actuation-dual-axis-sun-tracker.png,https://airlabhassen.github.io/assets/img/minimal-actuation-dual-axis-sun-tracker.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/minimal-actuation-dual-axis-sun-tracker.png,local repository asset
research.html,Constraint-embedded parasitic motion analysis workflow,/assets/img/constraint-embedded-parasitic-motion-analysis-workflow.png,https://airlabhassen.github.io/assets/img/constraint-embedded-parasitic-motion-analysis-workflow.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/constraint-embedded-parasitic-motion-analysis-workflow.png,local repository asset
research.html,Serial and parallel manipulators,/assets/img/serial-and-parallel-manipulators.png,https://airlabhassen.github.io/assets/img/serial-and-parallel-manipulators.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/serial-and-parallel-manipulators.png,local repository asset
resources.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
robotics-amharic.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
robotics-amharic.html,Original Amharic robotics page image,/assets/img/amharic-robotics-intro.svg,https://airlabhassen.github.io/assets/img/amharic-robotics-intro.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/amharic-robotics-intro.svg,local repository asset
